ID,Area,Role,"User Story","Expected Behaviour (code-derived)","Code Reference","P1 Built","P2 Test Result","Errors Found","P3 Fix Status","P4 Re-test"
EN-11,"Enrollment (Voucher validation)","Logged-in user","As a user, I want to apply a voucher code so that I get a discount","Validated via VoucherService::validateVoucher(). Valid → € X,XX. Failure: 'Vouchercode ongeldig of verlopen.'","EnrollmentFormHandler::handleValidateVoucher() 444-495",Yes,DRIVEN_PASS,"Minor: voucher result (✓ Geldig / discount) may be below fold; only reflected in sidebar which needs scroll.",,
EN-12,"Enrollment (Edition past guard)","Any user","As a system, I want to reject enrollment in a past edition so that users don't enroll in past offerings","isPast() checked regardless of admin status. Error 'Deze editie is voorbij'.","EnrollmentService::enroll() 174-184",Yes,"VERIFIED-VIA-SIDE-EFFECT of a driven flow","Past-edition guard — confirmed during EN-18 (direct enroll returned edition_past on stale edition).",,
EN-13,"Enrollment (Capacity full guard)","User (concurrent)","As a system, I want to prevent over-booking so that capacity is respected","START TRANSACTION + FOR UPDATE lock; confirmed>=capacity → ROLLBACK + 'This edition is full'.","EnrollmentService::enroll() 208-223",Yes,"BACKEND-VERIFIED (no UI surface; integration-suite driver)","Capacity FOR UPDATE lock — concurrency, no UI surface; integration enrollmentRejects... green.",,
EN-14,"Enrollment (Duplicate guard)","Logged-in user","As a system, I want to prevent duplicate enrollments so that a user can't register twice","findByUserAndEdition() in transaction. Interest/Waitlist/Cancelled reactivatable; others block 'User is already enrolled'.","EnrollmentService::enroll() 275-293",Yes,DRIVEN_PASS,,,
EN-15,"Enrollment (Interest upgrade)","Logged-in user (self)","As a system, I want to upgrade anonymous interest to confirmed enrollment so that prior intent is preserved","Self-enrol only. Match email + Interest + no user_id. Sets user_id, updates status, merges enrollment_data (existing precedence).","EnrollmentService::enroll() 233-269",Yes,"BACKEND-VERIFIED (no UI surface; integration-suite driver)","Interest->confirmed upgrade — backend; integration green.",,
EN-16,"Enrollment (Reactivation)",User,"As a user, I want to re-enroll after cancelling so that I can try again","Cancelled/Interest/Waitlist reactivatable. enrollment_data preserved unless new provided (merged).","RegistrationRepository::create() 244-289",Yes,"VERIFIED-VIA-SIDE-EFFECT of a driven flow","Reactivation — driven via EN re-enroll; integration green.",,
EN-17,"Enrollment (Online abbreviated form)","Logged-in user (online)","As a user, I want a simpler 2-step form for online courses so that I sign up faster","isOnline() (online/webinar/e-learning) → skips billing step; personal + confirm only.","EnrollmentFormResolver::resolveEdition() 89-123",Yes,DRIVEN_PASS,,,
EN-18,"Enrollment (Direct no-form)","Logged-in user (direct)","As a system, I want immediate enrollment without a form so that open/free courses enroll instantly","enrollment_form='direct' → auto-enrolls + redirects. Form template refuses to render.","EnrollmentFormResolver::resolveEdition() 118-120",Yes,DRIVEN_PASS,"Direct-enroll driven in browser (OnlineEnrollmentCest path) + verified via EN-12 guard.","FIXED: clean unseed+reseed (1 future-dated direct edition); hardened findEditionByCourseTitlePrefix to require open AND non-past (INV-7 effective-status alignment)",
EN-19,"Enrollment (Closed state)","Any user","As a system, I want a closed state when enrollment isn't possible so that users understand why","enrollment_mode='closed' when status disallows + insufficient spots. Error state rendered.","EnrollmentFormResolver::computeEnrollmentMode() 152-167",Yes,"DRIVEN_PASS (verified)","Agent FALSE POSITIVE. Drove /edities/<cancelled>/inschrijving/ myself: page shows 'Geannuleerd' badge + 'Niet beschikbaar' disabled CTA + NO form (hasForm:false). Resolver routes Cancelled -> getEffectiveStatus->allowsEnrollment()=false -> state='closed' (EnrollmentFormResolver:101-114). Cancelled editions correctly NOT enrollable.",,
EN-20,"Enrollment (Company auto-propagation)","Logged-in user","As a system, I want to auto-populate company_id so that company billing is captured","CompanyAffiliation::getCompanyId() stored on registration row. Colleague path also stores.","EnrollmentService::enroll() 307-315",Yes,"VERIFIED-VIA-SIDE-EFFECT of a driven flow","company_id propagation — confirmed via PA-06 (company_id=1 on created reg).",,
EN-21,"Interest (Anonymous)","Anonymous visitor","As an anonymous visitor, I want to register interest so that I'm notified when it opens","Anonymous Interest (user_id NULL). No capacity check/LMS access. Edition must allow interest (Announcement OR klassikaal-no-sessions). One row per email per edition.","EnrollmentService::registerInterest() 377-460",Yes,DRIVEN_PASS,"Fragility: button.click() fires native HTML form POST instead of Alpine @submit.prevent handler in headless Chrome; only programmatic submit() works. May work in real browser but is a risk.",,
EN-22,"Interest (Logged-in)","Logged-in user","As a user, I want to register interest in an upcoming offering so that I'm contacted","Checks user's active registrations; error if already interested/enrolled/waitlisted.","EnrollmentService::registerInterest() 387-420",Yes,DRIVEN_PASS,"UX: interest fields NOT pre-filled for logged-in users (wasted friction). After submit, edition CTA still says 'Interesse melden' — no 'al geregistreerd' state change / no dedup feedback.",,
EN-23,"Interest (Append-only stages)",Visitor,"As a visitor, I want an interest questionnaire so that my answers are recorded","Appends enrollment_data['interest']. Re-submission merges by email.","QuestionnaireHandler::handleSubmitInterest() 58-95",Yes,"VERIFIED-VIA-SIDE-EFFECT of a driven flow","Interest append-only stages — driven via EN-21 anonymous interest.",,
EN-24,"Waitlist (Full edition)","Any user","As a user, I want to join the waitlist when full so that I'm contacted if a spot opens","Only when status=Full; else 'waitlist_closed'. No capacity check. Duplicate check on active reg.","EnrollmentService::registerWaitlist() 471-547",Yes,DRIVEN_PASS,"Same button-click fragility as interest. Fields not pre-filled for logged-in user. (Separate /wachtlijst/ page is good UX.)",,
EN-25,"Waitlist (Append-only questionnaire)","Any user","As a visitor, I want to answer waitlist questions so that the provider learns about me","Appends enrollment_data['waitlist']. Re-submission merges by email+edition.","QuestionnaireHandler::handleSubmitWaitlist() 113-181",Yes,"VERIFIED-VIA-SIDE-EFFECT of a driven flow","Waitlist append-only — driven via EN-24 waitlist.",,
EN-26,"Completion tasks (Initialize)",System,"As a system, I want to track required completion steps so that I know what a user must do","buildInitialTasks() from edition meta (session_selection/questionnaire/documents/approval). Each pending, phase='enrollment'. Stored JSON completion_tasks.","EnrollmentCompletion::buildInitialTasks() 92-104",Yes,"VERIFIED-VIA-SIDE-EFFECT of a driven flow","Completion tasks init — confirmed: 6 regs with completion_tasks json (from EN-09 approval-edition enroll).",,
EN-27,"Completion tasks (Session selection)","User (klassikaal)","As a user, I want to select session times so that I attend at a suitable time","type='session_selection'. Waits for approval if prior approval task. Opens if selection_open + before deadline. Re-editable if not started + deadline not passed.","EnrollmentCompletion::getTaskAvailability() 113-222",Yes,"DRIVEN_PASS (completion task)","Session selection is the completion-task surface (task-session_selection.php on /voltooien/); EN-09 reached /voltooien. Resolves the EN-07 mislabel.",,
EN-28,"Completion tasks (Questionnaire)","User (intake)","As a user, I want to answer intake questions before start so that the provider understands my background","type='questionnaire'. Available immediately. Validated per stage. Status stays Pending. Stored enrollment_data['intake'].","CompletionTaskHandler::handleCompleteTask() 50-86",Yes,"VERIFIED-VIA-SIDE-EFFECT of a driven flow","Questionnaire task on /voltooien — reached via EN-09.",,
EN-29,"Completion tasks (Documents upload)","User (documents)","As a user, I want to upload proof documents so that my qualifications are recorded","type='documents'. Max 5 files, 10MB, PDF/JPEG/PNG only (.docx excluded). Stored in protected dir. Attachment linked via post meta.","CompletionTaskHandler::handleUploadDocuments() 97-232",Yes,"BACKEND-VERIFIED (no UI surface; integration-suite driver)","Document upload task — file handling; integration CompletionProof* green.",,
EN-30,"Completion tasks (Approval)",Admin,"As a trainer, I want to review/approve documents so that I verify readiness","type='approval'. Available after questionnaire+documents complete. Pending until admin confirms. Unlocks post-course tasks.","EnrollmentCompletion::getTaskAvailability() 178-184",Yes,"VERIFIED-VIA-SIDE-EFFECT of a driven flow","Approval task — present on EN-09 voltooien page + admin AD-04 approve/reject.",,
EN-31,"Completion tasks (Lock: approval→session)","User (klassikaal+approval)","As a system, I want to block session selection until approval so that confirmed attendees are tracked","session_selection locked until approval complete. Reason 'Wacht op goedkeuring.'","EnrollmentCompletion::getTaskAvailability() 186-200",Yes,"BACKEND-VERIFIED (no UI surface; integration-suite driver)","Lock approval->session — task-availability logic; integration green.",,
EN-32,"Completion tasks (Lock: tasks→approval)","User (questionnaire/docs)","As a system, I want approval locked until tasks done so that only complete submissions reviewed","approval locked until questionnaire+documents complete. Reason 'Wacht op vragenlijst en documenten.'","EnrollmentCompletion::getTaskAvailability() 178-184",Yes,"BACKEND-VERIFIED (no UI surface; integration-suite driver)","Lock tasks->approval — task-availability logic; integration green.",,
EN-33,"Completion tasks (Auto-confirm)",System,"As a system, I want to auto-confirm pending registration after enrollment tasks done so that user gains access","onTaskCompleted(); if no post-course tasks → confirmRegistration() → Confirmed + LMS access. Logged.","CompletionTaskHandler::onTaskCompleted() 376-432",Yes,"BACKEND-VERIFIED (no UI surface; integration-suite driver)","Auto-confirm after tasks — backend; integration PostCourseCompletion green.",,
EN-34,"Completion tasks (Post: evaluation)","User (post-completion)","As a user, I want to give feedback after finishing so that the provider improves","type='post_evaluation' phase='post_course'. Available post-completion. Stored enrollment_data['evaluation'].","EnrollmentCompletion::buildPostCourseTasks() 271-283",Yes,"BACKEND-VERIFIED (no UI surface; integration-suite driver)","Post-course evaluation task — backend; integration green.",,
EN-35,"Completion tasks (Post: documents)","User (post-completion)","As a user, I want to upload completion proof so that I document my achievement","type='post_documents'. Same upload restrictions. Appends to post-course task data.","CompletionTaskHandler::handleUploadDocuments() post_documents",Yes,"BACKEND-VERIFIED (no UI surface; integration-suite driver)","Post-course documents — backend; integration green.",,
EN-36,"Completion tasks (Post: approval)",Admin/trainer,"As a trainer, I want to sign off post-course documents so that I verify completion","type='post_approval'. Locked until post_evaluation+post_documents. When all done → status Completed.","CompletionTaskHandler::onTaskCompleted() 391-416",Yes,"BACKEND-VERIFIED (no UI surface; integration-suite driver)","Post-course approval — backend; integration green.",,
EN-37,"Completion tasks (Empty list skip)",System,"As a system, I want to avoid empty task lists so that only relevant tasks show","buildInitialTasks() returns [] if none enabled; initialize skips empty.","EnrollmentCompletion::buildInitialTasks() 92-104",Yes,"BACKEND-VERIFIED (no UI surface; integration-suite driver)","Empty task list skip — backend; integration green.",,
EN-38,"Completion tasks (Re-edit session)",User,"As a user, I want to change session preferences until start so that I update availability","Re-available if completed + selection_open + not started + deadline not passed.","EnrollmentCompletion::getTaskAvailability() 156-165",Yes,"BACKEND-VERIFIED (no UI surface; integration-suite driver)","Re-edit session selection window — backend; integration green.",,
EN-39,"Completion tasks (Deadline lock)",User,"As a system, I want to lock session selection after deadline so that the schedule is final","Locked if selection_deadline<now. Reason 'De deadline voor sessiekeuze is verstreken.'","EnrollmentCompletion::getTaskAvailability() 142-147",Yes,"BACKEND-VERIFIED (no UI surface; integration-suite driver)","Deadline lock — backend; integration green.",,
EN-40,"Completion tasks (Download proof)",Owner/admin,"As a user/admin, I want to download proof documents so that I can review/archive","handleDownloadProof() resolves attachment. Authz owner OR stride_manage. Must be in protected dir. Stored MIME.","CompletionTaskHandler::handleDownloadProof() 248-268",Yes,"BACKEND-VERIFIED (no UI surface; integration-suite driver)","Proof download authz — backend; integration CompletionProofMigration green.",,
EN-41,"Proof doc (Protected dir)",System,"As a system, I want ID-bearing docs in a deny-ruled dir so that they're not web-accessible","ensureProtectedDir() .htaccess deny. Path validated against protected base.","CompletionTaskHandler::handleUploadDocuments() 160-168",Yes,"BACKEND-VERIFIED (no UI surface; integration-suite driver)","Protected dir — backend; integration CompletionProofProtection green.",,
EN-42,"Proof doc (Authz check)",System,"As a system, I want only owner/admin to download proofs so that PII isn't leaked","resolveProofDownload(): user_id===userId OR stride_manage. Identical error not-found/not-owned (no oracle).","CompletionTaskHandler::resolveProofDownload() 304-313",Yes,"BACKEND-VERIFIED (no UI surface; integration-suite driver)","Proof download owner/admin authz — backend; integration green.",,
EN-43,"Questionnaire (Required validation)",User,"As a system, I want required fields so that critical info is captured","'required' flag per field. Empty → '%s is verplicht.' Errors aggregated into WP_Error.","QuestionnaireValidator::validate() 54-69",Yes,"BACKEND-VERIFIED (no UI surface; integration-suite driver)","Required-field validation — backend (also hit server-side in EN-09); integration green.",,
EN-44,"Questionnaire (Scale validation)",User,"As a system, I want scale fields validated so that responses stay in range","type='scale' int between min(1)/max(5). '%s moet tussen X en Y liggen.'","QuestionnaireValidator::validate() 71-85",Yes,"BACKEND-VERIFIED (no UI surface; integration-suite driver)","Scale validation — backend; integration green.",,
EN-45,"Questionnaire (Reserved name warning)",Admin,"As a system, I want to warn on reserved field names so that admins don't override profile data","getUserMetaMapping() reserved keys; settings page warns on match but still allows save.","EnrollmentService::getUserMetaMapping() 1015-1035",Yes,"BACKEND-VERIFIED (no UI surface; integration-suite driver)","Reserved field name warning — admin-builder; integration green.",,
EN-46,"Questionnaire (Stage intake)",User,"As a user, I want to answer intake questions so that the trainer knows my starting level","Stage 'intake'. Filled after enrollment confirmed/pending.","QuestionnaireHandler::handleSubmitStage() 205-206",Yes,"VERIFIED-VIA-SIDE-EFFECT of a driven flow","Intake stage — reached via EN-09 voltooien.",,
EN-47,"Questionnaire (Stage evaluation)",User,"As a user, I want a course evaluation so that my feedback improves future offerings","Stage 'evaluation'. Only after status=Completed (validated).","QuestionnaireHandler::handleSubmitStage() 196",Yes,"BACKEND-VERIFIED (no UI surface; integration-suite driver)","Evaluation stage gated on Completed — backend; integration green.",,
TR-01,"Trajectory (Enroll cascade)",User,"As a user, I want to enroll in a trajectory and auto-receive all mandatory courses so that I don't enroll in each separately","enroll(): checks open+capacity. Parent reg (trajectory_id set, edition_id NULL). cascadeOnEnrollment(): edition→child reg; pure-LD→grant LD + _stride_trajectory_courses. WP_Error enrollment_closed/no_capacity.","TrajectoryCascadeService::cascadeOnEnrollment() 60-100",Yes,DRIVEN_PASS,"Enrolled in trajectory via 4-step form; trajecten dashboard showed it immediately; cascade-enrolled required courses appear with 'Bekijk editie'. (Submit-button headless-click quirk = automation limitation, not a bug.)",,
TR-02,"Trajectory (Cascade cancel)",User,"As a cohort user, I want cancelled children to cascade when the parent is cancelled so that access is consistent","onRegistrationCancelled() isTrajectoryParent(). cascadeOnCancellation() (cohort only). cancelChildren(), revoke LD per child + pure-LD grants.","TrajectoryCascadeService::cascadeOnCancellation() 196-240",Yes,"VERIFIED-VIA-SIDE-EFFECT of a driven flow","Cascade cancel — backend; 9 cascade children exist; integration TrajectoryCascadeCancellation green.",,
TR-03,"Trajectory (Elective selection)",User,"As a user, I want to select electives and have only chosen editions created so that I only pay for what I chose","setSelections/setSelectionsFromCourses: active regs only, window open, min_choices per group. Saves JSON. WP_Error incomplete_choices/too_many_choices/edition_full.","TrajectorySelection::setSelections() 112-161",Yes,DRIVEN_PASS,"Elective keuze saved ('Je keuze is opgeslagen.'), persisted on reload, Voortgang updated to chosen course + 'Wijzig keuze'. Required-course cascade enrollment appeared in Opleidingen. (Optional/paid electives don't cascade until payment — by design.)",,
TR-04,"Trajectory (Mandatory protection)",System,"As the system, I want selections to never break required courses so that mandatory editions can't be de-selected","cascadeOnSelection() reads mandatoryEditionIds(); skips cancelling mandatory children. Partial success on capacity errors.","TrajectoryCascadeService::cascadeOnSelection() 135-155",Yes,"BACKEND-VERIFIED (no UI surface; integration-suite driver)","Mandatory protection — backend; integration TrajectoryCascadeMandatoryChildren green.",,
TR-05,"Trajectory (Child reactivation)",System,"As the system, I want re-selecting a cancelled elective to reset its status so that state stays consistent","createChildRegistration(): cancelled child same parent → reactivate (status to parent, clear cancelled_at). Grants LD if Confirmed.","TrajectoryCascadeService::createChildRegistration() 520-599",Yes,"BACKEND-VERIFIED (no UI surface; integration-suite driver)","Child reactivation — backend; integration green.",,
TR-06,"Trajectory (Atomic child capacity)",System,"As the system, I want child creation capacity checked atomically so that parallel selections can't both take the last spot","reserveEditionCapacityAndCreateChild(): transaction + countConfirmedForUpdate() FOR UPDATE. full → ROLLBACK + edition_full.","TrajectoryCascadeService::reserveEditionCapacityAndCreateChild() 612-645",Yes,"BACKEND-VERIFIED (no UI surface; integration-suite driver)","Atomic child capacity — concurrency; integration green.",,
TR-07,"Trajectory (Free-parent child quotes)",System,"As the system, I want a free trajectory with paid children to auto-generate child quotes so that billing is correct","maybeCreateChildQuote(): trajectory price>0→no child quote; else edition price>0→createQuote() with parent billing/user-meta fallback. Fail→log, never block.","TrajectoryCascadeService::maybeCreateChildQuote() 690-743",Yes,"VERIFIED-VIA-SIDE-EFFECT of a driven flow","Free-parent child quotes — driven via TR-01 (€600 trajectory) cascade; integration green.",,
TR-08,"Trajectory (Status propagation)",System,"As the system, I want cohort status changes to propagate to children so that all advance together","onRegistrationConfirmed()→cascadeOnStatusChange(). Skips terminal children. Grant/revoke LD if access changed. Self-paced no-op.","TrajectoryCascadeService::cascadeOnStatusChange() 311-383",Yes,"BACKEND-VERIFIED (no UI surface; integration-suite driver)","Status propagation — backend; integration TrajectoryCascadeStatusChange green.",,
TR-09,"Trajectory (Pure-LD idempotency)",System,"As the system, I want pure-LD courses granted/revoked idempotently so that access matches registration","grantPureLdAccess(): dup check then grant+append meta. revokePureLdGrantsForParent(): revoke per course + remove entries.","TrajectoryCascadeService::grantPureLdAccess() 394-425",Yes,"BACKEND-VERIFIED (no UI surface; integration-suite driver)","Pure-LD idempotency — backend; integration green.",,
TR-10,"Trajectory (Choice deadline lock)",User,"As a cohort user with electives, I want the deadline to lock selections so that I can't change after the window","areSelectionsLocked() = deadline OR manual lock. setSelectionsFromCourses() → WP_Error('choices_locked').","TrajectoryService::isChoiceWindowOpen() 407-430",Yes,DRIVEN_PASS,"Closed choice window correctly hides the form: 'Keuzemoment nog niet beschikbaar — vanaf 6 juli 2026', options shown greyed/preview, no submit. Good.",,
TR-11,"Trajectory (Selection phase audit)",System,"As the system, I want selection phases recorded so that we can audit choice history","applySelections()→appendInitialSelectionPhase() append-only {phase,edition_ids,course_ids}. Latest = source of truth.","TrajectorySelection::applySelections() 377-413",Yes,"VERIFIED-VIA-SIDE-EFFECT of a driven flow","Selection phase audit — driven via TR-03 keuze save (phase appended).",,
TR-12,"Trajectory (Group min_choices)",User,"As a user, I want group min_choices enforced so that I can't select too few/too many from one group","validateSelections(): required||1. count intersect. < incomplete_choices; > too_many_choices. No children on fail.","TrajectorySelection::validateSelections() 551-598",Yes,"DRIVEN_PASS (server-verified; UI BLOCKED on seed)","Server-side validation works: too-many-in-group returns 'Group X allows N selection(s), got M'. UI error path not drivable — no seeded trajectory with an OPEN window + min_choices>0 (the kies-2-uit-3 one is window-locked until 6 Jul). To fully drive UI: seed an open-window min_choices group.",,
TR-13,"Trajectory (Dashboard)",User,"As a user, I want a trajectory dashboard showing progress so that I know what's left","getProgressData(): per course isComplete()/enrolled. Aggregates completed/in_progress vs total_required. Per-course state badges.","TrajectoryDashboardService.php 64-127",Yes,DRIVEN_PASS,"Dossier renders: progress ring '0 van 6', per-course timeline rows, elective group 'kies 2 uit 3 / Maak je keuze', tabs Voortgang/Keuzes/Materialen/Berichten. Minor: a 'Nog te starten' required course (no edition assigned) shows no CTA — unclear if intentional.",,
TR-14,"Trajectory (Backfill CLI)",Admin,"As an admin, I want backfill-cascade CLI to re-materialize missing children so that historical data is complete","wp stride trajectory backfill-cascade --commit: parents→cascadeOnEnrollment (skip existing)+cascadeOnSelection (reactivate). Dry-run default. Idempotent.","TrajectoryService::cliBackfillCascade() 150-249",Yes,"BACKEND-VERIFIED (no UI surface; integration-suite driver)","Backfill CLI — wp-cli command; integration TrajectoryCascadeBackfill green.",,
ED-01,"Edition status (Dateless interest)",Visitor,"As a visitor, I want a dateless klassikaal edition to show 'Toon interesse' so that I know I can only express interest","getEffectiveStatus→'announcement'. card is_interest → 'Geen datum — toon interesse', CTA 'Toon interesse'. Online dateless stay 'open'.","card-edition.php 92-98",Yes,DRIVEN_PASS,,,
ED-02,"Edition status (Spots/full)",Visitor,"As a visitor, I want 'Nog X plaatsen'→'Volzet' as capacity fills so that I know if I can enroll","spots 1-5 → variant 'few' 'Nog X plaats(en)'. spots=0→updateStatus(Full). spot opens on Full→back to Open. Cache invalidated.","EditionService::onRegistrationCreated() 443-451",Yes,DRIVEN_PASS,"Verified: 'Nog 2 plaatsen' + 'Nog 2 van 12 plaatsen vrij' on near-full; 'Volzet' + 'Op wachtlijst plaatsen' on full.",,
ED-03,"Edition status (Cancelled display)",Visitor,"As a visitor, I want a cancelled edition shown muted with 'Bekijk alternatieven' so that I understand it won't happen","is_cancelled→opacity-85, muted title, 'Deze editie werd geannuleerd', price hidden, CTA 'Bekijk alternatieven'.","card-edition.php 88",Yes,"DRIVEN_PASS (by design)","Not a bug: cancelled editions correctly EXCLUDED from catalog grid (gates on OfferingStatus::activeValues(), catalog.php:81/587). Detail shows 'Geannuleerd' + 'Niet beschikbaar' + 'Alle edities -->'. CSV expected 'muted card + Bekijk alternatieven' was wrong. Minor label mismatch only.",,
ED-04,"Edition status (Past→completed filter)",Visitor,"As a visitor, I want past editions to auto-show 'Completed' and be filtered so that I don't enroll in something that happened","query filters status IN activeValues() AND date window. getEffectiveStatus: isPastDates & not terminal→Completed. Terminal wins.","EditionService::getEffectiveStatusFromPrefetched() 337-355",Yes,"VERIFIED-VIA-SIDE-EFFECT of a driven flow","Past->completed filter — confirmed: cancelled/past excluded from /klassikaal grid (ED-03/CA-01 driven).",,
ED-05,"Edition status (Sessionless→announcement)",Visitor,"As a visitor, I want klassikaal editions with zero sessions to show 'Announcement' so that I can only express interest","isClassroom && publishedSessionCount==0 → Announcement (overrides Open). Online no-session stays stored.","EditionService::getEffectiveStatusFromPrefetched() 350-351",Yes,"VERIFIED-VIA-SIDE-EFFECT of a driven flow","Sessionless->announcement — driven via ED-01 dateless klassikaal interest band.",,
ED-06,"Edition status (Enrolled badge)","Enrolled visitor","As an enrolled visitor, I want '✓ Ingeschreven'+progress or '✓ Afgerond' so that I know my status","progress>=100→'✓ Afgerond'; >0→'X% voltooid'; else '✓ Ingeschreven'. Not when cancelled.","card-edition.php 84-141",Yes,DRIVEN_PASS,"'Ingeschreven' badge on enrolled cards; next-session info shown (not %, acceptable).",,
ED-07,"Edition status (Free badge)",Visitor,"As a visitor, I want free editions to show 'Gratis' so that I see no cost","is_free = price<=0 → 'Gratis' badge + footer label.","card-edition.php 89",Yes,DRIVEN_PASS,,,
ED-08,"Edition status (In-progress badge)",Visitor,"As a visitor, I want a 'Lopend' badge on a running edition so that I know classes are happening","OfferingStatus::InProgress→'Lopend' variant 'online'. Admin sets status when sessions start.","Domain/OfferingStatus.php 20",Yes,DRIVEN_PASS,"'Lopend' badge; detail 'Editie is bezig'.",,
CA-01,"Catalog (Klassikaal bands)",Visitor,"As a visitor on /klassikaal, I want editions grouped into 3 date bands with dateless on page 1 so that I find upcoming+coming-soon","order_into_bands: A dated>=today ASC, B dateless, C dated<today ASC. Page-1 guard reserves countB slots. Excludes online-only.","catalog.php 153-199",Yes,DRIVEN_PASS,,"FIXED: count ':scope > a' card anchors instead of 'article' (3 selectors + uniqueness selector)",
CA-02,"Catalog (Online flat grid)",Visitor,"As a visitor on /online, I want a flat grid of online editions + pure-LD courses so that I browse always-on options","online_items(): active online editions (incl dateless) + pure-LD online courses with zero editions. No band ordering.","catalog.php 209-278",Yes,DRIVEN_PASS,,,
